Gender,SeniorCitizen,Partner,Dependents,Tenure,MonthlyCharges,TotalCharges,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,Contract,PaperlessBilling,PaymentMethod
Male,0,No,No,39,82.25,2889.93,DSL,Yes,No,No,No,One year,No,Bank transfer
Male,0,No,Yes,72,51.51,6019.19,No,No,No,No,No,Month-to-month,No,Bank transfer
Female,0,Yes,Yes,42,74.19,7572.7,Fiber optic,Yes,Yes,No,Yes,Two year,No,Mailed check
Female,0,No,No,9,29.12,3307.37,DSL,Yes,No,Yes,Yes,One year,Yes,Credit card
Female,1,Yes,Yes,25,87.89,3899.43,Fiber optic,No,Yes,Yes,No,One year,No,Bank transfer
Female,0,No,Yes,2,92.51,8839.07,No,Yes,Yes,No,No,Two year,No,Bank transfer
Female,0,No,No,19,116.5,7076.86,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer
Male,0,Yes,No,20,46.04,8085.12,Fiber optic,Yes,No,Yes,No,Month-to-month,No,Credit card
Female,0,Yes,No,70,21.85,4004.98,DSL,No,Yes,Yes,No,One year,Yes,Electronic check
Female,0,Yes,No,17,74.56,2183.28,DSL,Yes,Yes,Yes,Yes,One year,No,Credit card
Male,1,Yes,No,68,90.68,3765.58,DSL,Yes,No,No,No,One year,Yes,Electronic check
Female,0,Yes,No,3,99.04,6473.22,DSL,Yes,No,No,Yes,Two year,Yes,Bank transfer
Male,0,No,Yes,51,39.37,1073.93,Fiber optic,Yes,No,Yes,Yes,Two year,Yes,Electronic check
Female,1,No,No,26,46.18,2507.18,No,No,No,Yes,Yes,Two year,Yes,Electronic check
Male,0,Yes,Yes,56,71.26,515.06,Fiber optic,Yes,No,Yes,No,One year,No,Electronic check
Female,0,Yes,No,64,53.06,3947.89,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check
Female,0,Yes,No,8,106.05,7464.27,No,No,Yes,No,Yes,Two year,Yes,Bank transfer
Male,0,No,Yes,37,67.38,319.51,Fiber optic,No,Yes,No,Yes,Month-to-month,No,Mailed check
Male,0,Yes,No,27,99.96,6110.38,Fiber optic,No,Yes,Yes,Yes,One year,No,Credit card
Male,1,Yes,No,45,78.06,8399.21,DSL,No,Yes,No,Yes,Two year,Yes,Electronic check
Male,0,No,Yes,4,97.31,2208.66,No,No,No,Yes,Yes,Two year,Yes,Bank transfer
Male,0,No,No,37,53.27,6273.35,DSL,No,Yes,Yes,No,Two year,No,Bank transfer
Male,0,No,Yes,71,103.14,8778.41,DSL,Yes,No,Yes,Yes,One year,Yes,Bank transfer
Male,0,No,No,33,47.46,8664.27,Fiber optic,Yes,Yes,No,No,One year,No,Bank transfer
Male,0,Yes,No,31,74.61,2190.87,DSL,No,Yes,No,Yes,One year,No,Electronic check
Female,0,No,Yes,55,41.4,992.95,DSL,Yes,No,No,Yes,Month-to-month,Yes,Credit card
Female,0,No,No,12,67.55,1419.71,DSL,No,Yes,No,No,Month-to-month,No,Bank transfer
Male,0,Yes,Yes,11,51.82,6348.12,Fiber optic,Yes,Yes,No,No,Two year,No,Credit card
Female,0,Yes,Yes,72,46.67,6559.25,DSL,No,Yes,No,Yes,Two year,Yes,Credit card
Female,0,Yes,Yes,32,116.7,6100.71,DSL,No,Yes,Yes,No,One year,No,Credit card
Female,0,No,No,57,36.01,3091.1,Fiber optic,Yes,No,Yes,No,One year,No,Mailed check
Female,0,Yes,No,38,98.73,1611.01,Fiber optic,No,Yes,No,Yes,One year,Yes,Bank transfer
Male,0,No,Yes,60,118.42,5268.77,Fiber optic,Yes,Yes,No,Yes,Two year,No,Bank transfer
Female,1,No,No,19,21.99,4404.76,No,No,Yes,No,Yes,One year,No,Bank transfer
Male,0,No,No,56,89.9,6586.62,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Credit card
Female,0,Yes,No,14,45.29,4028.1,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer
Female,0,No,Yes,33,24.05,3113.89,Fiber optic,No,Yes,Yes,Yes,Two year,No,Bank transfer
Female,0,Yes,No,10,60.29,2711.96,Fiber optic,Yes,Yes,No,No,Two year,No,Credit card
Male,0,Yes,Yes,64,113.52,1982.09,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer
Female,0,Yes,No,64,21.18,2465.14,No,Yes,No,Yes,No,One year,Yes,Electronic check
Male,0,No,No,62,78.79,943.99,DSL,Yes,No,No,No,Two year,No,Mailed check
Female,0,No,Yes,68,70.14,3187.03,Fiber optic,Yes,No,Yes,Yes,Two year,Yes,Electronic check
Male,0,No,No,43,107.34,425.47,No,No,Yes,Yes,No,Two year,No,Electronic check
Female,0,Yes,Yes,59,28.4,1759.08,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Electronic check
Male,1,No,No,52,88.15,6746.26,DSL,Yes,No,Yes,Yes,Two year,No,Credit card
Male,0,No,Yes,19,88.01,2996.67,No,No,No,No,No,Month-to-month,Yes,Bank transfer
Female,0,No,No,21,86.91,6047.31,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check
Male,0,No,No,22,114.23,6480.27,Fiber optic,No,No,Yes,Yes,One year,No,Electronic check
Female,0,No,No,9,102.31,5272.55,Fiber optic,Yes,Yes,Yes,Yes,One year,No,Bank transfer
Female,0,Yes,Yes,9,24.2,8632.41,DSL,No,No,No,Yes,One year,Yes,Credit card
Female,0,Yes,Yes,27,67.11,290.81,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check
Female,1,Yes,Yes,17,59.8,6674.01,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Bank transfer
Female,0,Yes,No,44,51.01,8633.2,Fiber optic,Yes,Yes,No,No,Two year,Yes,Bank transfer
Female,0,No,Yes,45,65.13,7774.22,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check
Female,0,Yes,Yes,8,58.42,1594.24,DSL,No,Yes,No,Yes,Two year,Yes,Electronic check
Female,0,No,Yes,18,63.23,3008.7,DSL,Yes,Yes,No,Yes,Month-to-month,No,Electronic check
Female,0,Yes,Yes,33,117.93,1634.82,DSL,Yes,No,No,Yes,One year,No,Mailed check
Female,0,Yes,Yes,1,28.86,5451.64,DSL,No,Yes,No,Yes,One year,Yes,Bank transfer
Female,0,Yes,Yes,6,112.22,6438.47,DSL,No,Yes,No,No,Two year,Yes,Bank transfer
Male,1,No,Yes,41,68.02,2921.96,Fiber optic,Yes,No,Yes,No,Month-to-month,No,Electronic check
Male,0,No,Yes,55,82.37,4901.61,Fiber optic,Yes,No,Yes,Yes,One year,Yes,Electronic check
Female,0,Yes,Yes,5,103.02,6249.19,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check
Female,0,No,Yes,59,56.05,3849.92,No,Yes,No,No,Yes,Two year,No,Electronic check
Female,0,Yes,No,18,63.04,7700.74,DSL,No,Yes,Yes,No,One year,No,Electronic check
Female,0,Yes,No,49,60.95,6966.79,No,Yes,No,No,No,Two year,Yes,Credit card
Female,0,Yes,Yes,65,57.47,675.52,DSL,Yes,Yes,No,Yes,Two year,No,Mailed check
Female,0,No,No,54,112.55,5628.02,DSL,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer
Female,0,Yes,No,61,102.89,2194.4,No,No,Yes,Yes,No,Two year,No,Electronic check
Female,0,Yes,Yes,8,30.9,5061.91,Fiber optic,Yes,No,Yes,No,Two year,Yes,Bank transfer
Male,0,Yes,Yes,3,30.81,8616.31,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check
Female,1,No,Yes,25,62.79,7923.65,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Credit card
Male,0,Yes,No,69,29.87,3700.2,DSL,No,No,Yes,Yes,Two year,Yes,Mailed check
Female,0,No,Yes,55,81.91,2694.47,Fiber optic,Yes,Yes,Yes,No,One year,No,Mailed check
Female,0,Yes,No,40,34.37,2186.21,DSL,Yes,No,No,Yes,One year,No,Bank transfer
Male,0,No,Yes,50,72.24,4839.38,DSL,Yes,Yes,No,No,Month-to-month,No,Credit card
Female,0,Yes,No,33,20.72,1116.81,Fiber optic,No,Yes,No,Yes,Two year,Yes,Bank transfer
Male,1,Yes,No,18,51.66,4988.55,DSL,Yes,No,No,Yes,One year,No,Credit card
Female,0,No,Yes,57,87.72,111.87,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check
Female,0,No,Yes,16,68.4,2982.26,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check
Male,0,Yes,No,38,117.83,2057.42,DSL,No,Yes,Yes,Yes,Month-to-month,No,Credit card
Female,0,No,No,41,107.41,8743.85,DSL,Yes,Yes,No,No,Two year,No,Electronic check
Male,0,Yes,Yes,7,55.91,6572.46,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check
Female,0,Yes,Yes,53,24.55,3211.92,DSL,Yes,Yes,No,No,One year,Yes,Credit card
Male,1,Yes,No,63,104.56,926.32,No,Yes,No,Yes,Yes,Two year,No,Credit card
Male,0,No,Yes,32,111.12,4699.53,No,No,No,Yes,No,One year,No,Bank transfer
Female,0,Yes,No,38,102.06,1999.69,DSL,Yes,Yes,Yes,Yes,One year,No,Credit card
Female,0,No,Yes,22,32.79,4874.22,No,Yes,No,Yes,No,One year,No,Bank transfer
Male,0,Yes,Yes,16,119.79,7534.72,No,No,Yes,Yes,No,Two year,No,Credit card
Female,0,No,Yes,52,45.86,5580.55,No,No,No,No,Yes,One year,Yes,Mailed check
Female,0,No,No,29,92.42,5740.72,DSL,No,Yes,Yes,No,Month-to-month,Yes,Mailed check
Female,0,Yes,Yes,16,110.8,4915.17,No,No,No,Yes,No,Month-to-month,Yes,Mailed check
Male,0,No,No,17,43.57,8352.66,Fiber optic,No,No,Yes,Yes,One year,No,Bank transfer
Male,0,Yes,Yes,64,110.83,8393.93,Fiber optic,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer
Male,0,Yes,No,13,50.95,4663.24,No,No,No,No,Yes,Two year,No,Electronic check
Male,1,Yes,No,72,117.64,2821.26,Fiber optic,No,Yes,No,Yes,Two year,No,Bank transfer
Male,0,Yes,Yes,56,48.13,4190.32,DSL,No,Yes,No,No,Month-to-month,No,Bank transfer
Male,0,Yes,No,5,115.34,1760.37,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check
Male,0,No,No,12,25.35,5763.46,DSL,Yes,Yes,No,No,Two year,Yes,Credit card
Male,1,Yes,No,41,90.93,4550.82,Fiber optic,Yes,No,No,No,One year,Yes,Bank transfer
Male,1,No,No,3,73.21,1019.37,Fiber optic,No,No,No,No,Two year,Yes,Electronic check
Female,0,No,Yes,33,67.79,1859.07,Fiber optic,Yes,Yes,No,Yes,One year,No,Credit card
Male,0,Yes,Yes,50,42.35,4368.72,Fiber optic,No,No,Yes,Yes,Month-to-month,No,Bank transfer
Female,0,No,Yes,56,90.56,7999.54,DSL,No,Yes,Yes,No,Month-to-month,Yes,Credit card
Female,0,Yes,No,9,39.08,5140.88,No,Yes,Yes,Yes,No,One year,Yes,Credit card
Female,0,No,No,50,75.28,6165.66,DSL,Yes,No,Yes,No,One year,No,Credit card
Male,0,No,Yes,29,45.32,3117.35,No,Yes,Yes,No,No,Two year,Yes,Credit card
Male,0,No,Yes,39,115.56,5185.56,Fiber optic,No,No,Yes,No,One year,Yes,Credit card
Male,0,Yes,No,45,22.86,4081.68,Fiber optic,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer
Male,0,No,Yes,17,39.97,5966.26,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card
Female,0,Yes,Yes,56,44.23,550.12,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Credit card
Male,0,No,No,46,61.41,4490.37,DSL,Yes,Yes,No,No,One year,Yes,Electronic check
Male,0,No,Yes,67,43.27,2734.33,No,Yes,Yes,No,No,One year,No,Electronic check
Male,0,No,No,69,69.13,3003.05,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card
Male,0,No,Yes,14,107.25,8652.17,Fiber optic,No,Yes,Yes,Yes,One year,Yes,Bank transfer
Male,0,Yes,No,67,91.21,1725.98,DSL,Yes,No,Yes,Yes,Two year,No,Electronic check
Female,1,Yes,No,23,78.0,2870.08,Fiber optic,No,Yes,Yes,Yes,Two year,No,Electronic check
Male,0,No,No,61,28.9,4638.04,No,No,Yes,No,Yes,One year,No,Credit card
Female,0,No,No,23,89.4,7780.94,No,No,Yes,Yes,No,One year,No,Bank transfer
Male,0,Yes,No,27,36.64,3808.36,DSL,Yes,No,No,No,Month-to-month,No,Mailed check
Female,0,Yes,Yes,54,98.64,6720.4,No,No,No,No,No,One year,No,Bank transfer
Male,0,Yes,Yes,10,45.01,7721.73,DSL,Yes,Yes,Yes,No,Month-to-month,No,Electronic check
Male,0,Yes,Yes,16,61.7,2859.15,Fiber optic,No,No,No,No,Two year,Yes,Electronic check
Female,1,No,No,41,55.05,3595.48,Fiber optic,Yes,No,Yes,No,One year,No,Electronic check
Female,0,No,Yes,55,105.88,3273.35,DSL,No,Yes,Yes,Yes,Two year,No,Electronic check
Female,1,Yes,No,61,32.65,7512.42,Fiber optic,No,Yes,Yes,No,One year,No,Electronic check
Male,1,Yes,No,49,76.56,494.69,DSL,Yes,No,Yes,No,One year,Yes,Credit card
Female,0,Yes,Yes,52,34.21,2844.95,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Credit card
Male,1,Yes,No,2,90.48,6146.74,Fiber optic,No,No,No,No,Month-to-month,No,Credit card
Male,0,Yes,Yes,50,110.51,5132.45,No,Yes,Yes,Yes,No,One year,No,Electronic check
Female,0,Yes,No,43,63.46,3982.98,No,Yes,No,No,No,One year,No,Credit card
Female,0,No,No,8,68.81,4905.54,DSL,Yes,No,No,No,Month-to-month,Yes,Electronic check
Male,1,No,Yes,59,112.74,1858.5,Fiber optic,Yes,No,No,No,Two year,No,Bank transfer
Male,1,No,No,65,72.1,3933.38,Fiber optic,No,No,Yes,Yes,One year,Yes,Mailed check
Female,0,Yes,Yes,12,68.76,4565.16,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer
Female,0,Yes,No,4,77.83,8120.58,No,No,Yes,Yes,Yes,One year,No,Mailed check
Female,0,Yes,Yes,41,88.92,2421.43,DSL,No,Yes,No,No,Month-to-month,Yes,Credit card
Male,0,No,No,7,30.69,7823.67,DSL,Yes,No,Yes,Yes,Two year,No,Mailed check
Male,0,Yes,Yes,69,102.11,5833.75,DSL,Yes,Yes,Yes,No,One year,Yes,Bank transfer
Male,0,Yes,Yes,69,63.55,281.03,Fiber optic,Yes,No,Yes,Yes,One year,Yes,Bank transfer
Male,0,No,No,30,27.23,6549.22,DSL,Yes,No,Yes,Yes,Two year,Yes,Mailed check
Male,0,Yes,Yes,6,98.62,416.41,No,No,Yes,Yes,No,One year,No,Bank transfer
Male,1,No,No,19,57.69,8976.69,No,No,No,Yes,No,One year,Yes,Credit card
Female,0,No,No,66,30.04,7866.47,DSL,Yes,No,No,No,One year,Yes,Bank transfer
Male,0,Yes,Yes,10,83.38,2746.36,Fiber optic,No,No,Yes,No,Month-to-month,No,Mailed check
Male,0,No,Yes,16,108.01,2390.96,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card
Male,1,Yes,Yes,37,108.78,3494.83,No,No,Yes,Yes,Yes,One year,Yes,Mailed check
Female,1,No,Yes,32,115.77,3269.89,Fiber optic,No,Yes,No,No,Two year,No,Electronic check
Male,0,Yes,Yes,47,106.77,3413.81,Fiber optic,No,Yes,No,Yes,Two year,No,Electronic check
Male,0,No,No,72,20.21,2932.66,DSL,Yes,Yes,No,Yes,One year,No,Credit card
Female,0,Yes,Yes,43,58.02,5628.09,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card
Male,0,No,No,36,101.85,1561.95,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer
Male,0,No,Yes,26,56.63,7629.23,DSL,Yes,Yes,No,No,One year,Yes,Mailed check
Male,0,No,Yes,10,80.15,7330.38,DSL,Yes,Yes,No,No,Month-to-month,Yes,Electronic check
Male,0,Yes,Yes,31,80.63,4340.7,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer
Male,0,Yes,No,29,56.5,7689.3,No,Yes,No,Yes,No,Two year,No,Electronic check
Female,0,No,Yes,5,110.45,2299.59,Fiber optic,Yes,Yes,Yes,No,One year,Yes,Bank transfer
Female,0,Yes,No,1,70.32,256.33,Fiber optic,No,No,No,Yes,Month-to-month,No,Bank transfer
Female,0,No,No,3,66.48,5610.95,No,No,No,No,No,Month-to-month,Yes,Electronic check
Male,1,Yes,No,67,119.75,4175.39,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer
Male,0,No,Yes,71,69.35,5147.76,Fiber optic,No,Yes,No,No,One year,No,Electronic check
Male,1,Yes,No,35,37.84,8104.12,DSL,Yes,No,No,Yes,One year,Yes,Credit card
Female,0,No,Yes,15,71.31,8732.34,DSL,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check
Male,0,No,No,67,101.4,5746.63,No,No,Yes,No,Yes,Two year,No,Bank transfer
Male,0,No,Yes,30,97.69,6900.09,No,No,No,No,Yes,Two year,No,Electronic check
Female,0,No,No,43,98.86,845.9,Fiber optic,Yes,Yes,Yes,Yes,One year,Yes,Electronic check
Male,0,Yes,Yes,60,90.8,1530.37,No,Yes,Yes,Yes,Yes,Two year,No,Mailed check
Female,0,No,Yes,40,45.42,6625.52,DSL,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check
Female,0,Yes,Yes,65,106.21,3939.15,Fiber optic,No,No,No,Yes,One year,No,Mailed check
Female,0,Yes,No,29,109.34,4069.09,Fiber optic,No,No,Yes,No,One year,Yes,Bank transfer
Male,0,No,No,19,39.42,2846.61,DSL,No,Yes,No,No,Two year,No,Electronic check
Male,0,Yes,Yes,3,33.05,5505.47,DSL,No,No,Yes,Yes,One year,No,Bank transfer
Male,0,Yes,No,36,117.56,1747.97,Fiber optic,Yes,Yes,No,Yes,Two year,Yes,Bank transfer
Male,0,Yes,No,43,106.83,5679.55,No,No,Yes,No,No,Two year,No,Credit card
Male,0,No,No,15,109.32,1646.81,DSL,No,Yes,Yes,No,Month-to-month,No,Mailed check
Male,0,Yes,No,41,108.64,668.05,Fiber optic,Yes,No,No,No,Two year,No,Credit card
Male,1,Yes,No,36,74.17,3040.18,No,No,Yes,Yes,Yes,Two year,Yes,Credit card
Female,0,No,No,33,84.64,2157.15,No,Yes,Yes,No,Yes,One year,No,Bank transfer
Male,0,No,No,5,74.54,8012.03,Fiber optic,No,No,No,No,Month-to-month,No,Bank transfer
Female,1,Yes,Yes,14,25.12,589.09,DSL,Yes,No,No,Yes,Month-to-month,No,Electronic check
Male,0,No,Yes,68,94.55,1671.86,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card
Male,0,Yes,No,47,70.53,4983.6,DSL,Yes,No,No,Yes,One year,Yes,Mailed check
Male,0,Yes,Yes,54,84.77,4381.5,Fiber optic,No,Yes,Yes,Yes,One year,No,Credit card
Female,0,Yes,Yes,4,70.26,508.08,DSL,No,Yes,No,No,One year,Yes,Electronic check
Female,0,No,Yes,9,69.18,164.55,No,No,Yes,No,Yes,Month-to-month,No,Credit card
Female,0,Yes,No,53,37.18,8893.8,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Credit card
Female,0,No,No,60,47.87,5963.63,No,No,No,Yes,Yes,Two year,No,Credit card
Male,0,No,No,46,35.89,3352.11,No,No,Yes,No,Yes,Two year,Yes,Electronic check
Female,1,Yes,No,54,39.57,4286.85,Fiber optic,Yes,Yes,No,No,One year,No,Credit card
Male,0,No,No,37,117.3,2472.3,Fiber optic,No,Yes,No,Yes,Two year,No,Bank transfer
Male,0,No,Yes,23,35.31,3169.38,DSL,No,Yes,No,Yes,One year,Yes,Credit card
Female,0,No,No,27,46.93,5876.5,Fiber optic,Yes,No,No,No,Month-to-month,No,Bank transfer
Female,0,No,Yes,70,79.06,7957.03,DSL,Yes,No,No,Yes,Two year,No,Credit card
Female,0,No,No,66,81.02,1738.76,Fiber optic,No,No,Yes,Yes,One year,No,Bank transfer
Female,0,Yes,Yes,61,35.4,7579.22,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card
Female,0,No,No,51,99.37,1181.85,DSL,No,No,Yes,Yes,One year,No,Mailed check
Female,1,Yes,No,50,98.52,2013.43,Fiber optic,Yes,Yes,No,No,Two year,No,Bank transfer
Female,0,Yes,No,19,43.73,430.86,DSL,No,No,No,No,One year,No,Mailed check
Female,0,Yes,No,1,48.87,1353.23,DSL,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer
Male,0,Yes,No,40,113.8,8264.0,DSL,Yes,Yes,No,Yes,Two year,No,Credit card
Female,0,Yes,No,32,102.57,4189.0,No,No,No,No,Yes,Month-to-month,Yes,Electronic check
Female,0,Yes,Yes,22,89.78,791.23,Fiber optic,No,No,Yes,No,Two year,No,Credit card
Male,0,No,No,66,28.22,8641.57,Fiber optic,Yes,Yes,No,No,One year,Yes,Electronic check
Female,0,No,Yes,40,61.83,7923.03,DSL,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check
Male,0,No,No,38,75.93,6816.67,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check
Male,0,Yes,Yes,48,38.74,8407.91,No,Yes,No,No,Yes,One year,No,Electronic check
Female,0,No,Yes,55,64.82,2059.15,DSL,No,No,Yes,Yes,Month-to-month,Yes,Electronic check
Male,0,No,Yes,55,80.1,7543.69,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check
Male,0,No,Yes,51,52.74,6240.92,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check
Male,0,Yes,Yes,60,98.09,7840.86,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check
Male,0,No,Yes,8,104.04,7192.51,Fiber optic,No,No,Yes,Yes,One year,Yes,Credit card
Female,0,Yes,No,68,52.36,3183.81,DSL,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer
Male,0,No,Yes,72,103.87,6992.15,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer
Female,0,Yes,No,9,30.36,2435.86,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Credit card
Male,0,Yes,No,2,103.77,3024.47,DSL,No,No,Yes,Yes,Two year,Yes,Mailed check
Male,1,Yes,Yes,70,35.28,1060.36,DSL,Yes,Yes,Yes,Yes,Two year,No,Credit card
Male,0,No,Yes,59,28.29,8422.18,Fiber optic,Yes,Yes,Yes,Yes,One year,Yes,Credit card
Male,1,No,No,19,84.18,2689.93,No,Yes,No,Yes,No,One year,Yes,Electronic check
Female,0,Yes,Yes,28,67.19,4733.54,DSL,No,Yes,No,Yes,One year,Yes,Electronic check
Female,0,No,Yes,72,110.79,3582.86,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Mailed check
Male,0,Yes,Yes,14,56.32,8643.36,DSL,Yes,No,No,Yes,Two year,Yes,Mailed check
Male,0,Yes,Yes,24,48.72,3081.94,Fiber optic,Yes,No,No,No,Two year,Yes,Bank transfer
Female,0,No,Yes,44,70.07,7029.06,DSL,No,Yes,No,No,One year,Yes,Mailed check
Male,0,No,Yes,56,65.59,7713.2,No,No,No,Yes,Yes,Two year,No,Credit card
Male,0,No,Yes,51,54.44,3976.9,DSL,Yes,Yes,Yes,No,One year,No,Bank transfer
